annotation,is_amr,category,confidence,evidence_terms,reason,row_idx
hypothetical protein PA3951,,unknown,,,,11404
transcriptional regulator of stalk biogenesis staR,,unknown,,,,11405
phage DNA polymerase,,unknown,,,,11406
autotransporter domain-containing esterase,,unknown,,,,11407
beta-keto-ACP synthase,,unknown,,,,11408
metallo-beta-lactamase superfamily inner membrane protein YcaI,,antibiotic_resistance,,,,11409
transcription termination/antitermination NusG family protein,,unknown,,,,11410
MULTISPECIES: copper-containing nitrite reductase,,non_amr_metal_resistance,,,,11411
phage neck terminator protein,,unknown,,,,11412
MULTISPECIES: MerC family mercury resistance protein,,non_amr_metal_resistance,,,,11413
hypothetical protein Cj0459c,,unknown,,,,11414
"recombination directionality factor, partial",,unknown,,,,11415
MULTISPECIES: peroxide-responsive transcriptional repressor PerR,,unknown,,,,11416
hypothetical protein lmo2553,,unknown,,,,11417
ATP-binding hybrid sensor histidine kinase/response regulator,,unknown,,,,11418
"type II restriction/modification enzyme, EcoRI family",,unknown,,,,11419
MULTISPECIES: phage tail assembly protein T,,unknown,,,,11420
dimethyl sulfoxide reductase subunit A,,unknown,,,,11421
MULTISPECIES: alpha-pore-forming tripartite toxin MakABE regulator MakC,,non_amr_virulence,,,,11422
MULTISPECIES: 3-amino-4-hydroxybenzoic acid synthase,,non_amr_antibiotic_biosynthesis,,,,11423
MULTISPECIES: ATP synthase I,,unknown,,,,11424
MULTISPECIES: epi-isozizaene synthase,,non_amr_antibiotic_biosynthesis,,,,11425
plasmid copy number transcriptional regulator CopA,,unknown,,,,11426
"asparagine synthase C-terminal domain-containing protein, partial",,unknown,,,,11427
hypothetical protein Rv0059,,unknown,,,,11428
MULTISPECIES: multidrug efflux MFS transporter MdrM,,antibiotic_resistance,,,,11429
multidrug efflux RND transporter permease subunit VexB,,antibiotic_resistance,,,,11430
"primosomal protein, ATP-dependent",,unknown,,,,11431
three-component system response regulator CiaR,,unknown,,,,11432
"anti-sigma B factor RsbW, partial",,unknown,,,,11433
invasion transcriptional regulator HilC,,non_amr_virulence,,,,11434
MULTISPECIES: alpha-pore-forming cytotoxin MakA,,non_amr_virulence,,,,11435
aminodeoxychorismate synthase component I,,non_amr_antibiotic_biosynthesis,,,,11436
MULTISPECIES: cofactor assembly of complex C subunit B,,unknown,,,,11437
MUS family subclass B1 metallo-beta-lactamase,,antibiotic_resistance,,,,11438
MULTISPECIES: transcriptional regulator RefZ,,unknown,,,,11439
thiamine biosynthesis protein ThiX,,unknown,,,,11440
tail assembly protein,,unknown,,,,11441
molybdopterin biosynthesis enzyme,,unknown,,,,11442
CSR family subclass B3 metallo-beta-lactamase-like protein,,antibiotic_resistance,,,,11443
O152 family O-antigen flippase,,non_amr_transport,,,,11444
aromatic prenyltransferase,,unknown,,,,11445
"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase, partial",,unknown,,,,11446
glycogen/starch synthase,,unknown,,,,11447
daptide-type RiPP biosynthesis dehydogenase,,non_amr_antibiotic_biosynthesis,,,,11448
hypothetical protein lmo1568,,unknown,,,,11449
steroid-24-oyl-CoA synthetase,,unknown,,,,11450
polysaccharide biosynthesis protein-tyrosine phosphatase Php1,,unknown,,,,11451
MULTISPECIES: starvation-sensing protein RspA,,unknown,,,,11452
"transcriptional repressor KorB C-terminal beta-barrel domain-containing protein, partial",,unknown,,,,11453
type III restriction endonuclease,,unknown,,,,11454
"hypothetical protein, partial (plasmid)",,unknown,,,,11455
cellulose synthase regulator protein,,unknown,,,,11456
"glutamine synthetase, partial",,unknown,,,,11457
MULTISPECIES: multidrug efflux MFS transporter EfmA,,antibiotic_resistance,,,,11458
anti-sigma-I factor RsgI family protein,,unknown,,,,11459
pertussis toxin binding subunit S2,,non_amr_virulence,,,,11460
EFM family subclass B3 metallo-beta-lactamase,,antibiotic_resistance,,,,11461
hypothetical protein lmo1999,,unknown,,,,11462
polysaccharide biosynthesis glycosyltransferase UppG,,unknown,,,,11463
"metalloregulator ArsR/SmtB family transcription factor, partial",,non_amr_metal_resistance,,,,11464
MULTISPECIES: bacterio-opsin activator,,unknown,,,,11465
hypothetical protein lmo2196,,unknown,,,,11466
MULTISPECIES: cytolethal distending toxin subunit A/C,,non_amr_virulence,,,,11467
hypothetical protein Cj1159c,,unknown,,,,11468
"MULTISPECIES: redoxin domain-containing protein, partial",,unknown,,,,11469
MULTISPECIES: reductase,,unknown,,,,11470
hypothetical protein Rv0836c,,unknown,,,,11471
hypothetical protein Rv2079,,unknown,,,,11472
MULTISPECIES: flavin-dependent violacein biosynthesis monooxygenase VioD,,non_amr_antibiotic_biosynthesis,,,,11473
transposon-transfer assisting family protein,,unknown,,,,11474
multidrug efflux MATE transporter CdeA,,antibiotic_resistance,,,,11475
cysteine desulfurase involved in U34 tRNA thiolation,,unknown,,,,11476
type-2 restriction enzyme NaeI,,unknown,,,,11477
"MULTISPECIES: toxin-antitoxin system, toxin component, PIN family protein",,unknown,,,,11478
ATP synthase protein I,,unknown,,,,11479
reactive chlorine-specific transcriptional regulator RclR,,unknown,,,,11480
nitrogen fixation protein NifZ,,unknown,,,,11481
MULTISPECIES: virulence factor Mce family protein,,non_amr_virulence,,,,11482
"biotin synthase auxiliary protein BsaP, partial",,unknown,,,,11483
tyrosine-tyramine antiporter,,non_amr_transport,,,,11484
dormancy-associated translation inhibitor,,unknown,,,,11485
lipopolysaccharide transport system protein LptG,,non_amr_transport,,,,11486
"sulfite reductase subunit alpha, partial",,unknown,,,,11487
MULTISPECIES: putative nonproteinogenic amino acid hydroxylase,,unknown,,,,11488
anti-toxin protein relB-4,,unknown,,,,11489
MULTISPECIES: two-component system response regulator TtsR,,unknown,,,,11490
MULTISPECIES: 3-deoxy-7-phosphoheptulonate synthase AroH,,unknown,,,,11491
UDP-N-acetylmuramyl peptide synthase,,unknown,,,,11492
"nitrite/sulfite reductase, partial",,unknown,,,,11493
riboflavin synthase subunit beta,,unknown,,,,11494
MULTISPECIES: two-component system response regulator RssB,,unknown,,,,11495
ArdR protein,,unknown,,,,11496
osmoprotectant ABC transporter substrate-binding protein OsmX,,non_amr_transport,,,,11497
"PEN family class A beta-lactamase, Bcc-type",,antibiotic_resistance,,,,11498
"cellulose synthase, partial",,unknown,,,,11499
MazE-like antitoxin protein,,unknown,,,,11500
MULTISPECIES: regulatory iron-sulfur-containing complex subunit RicF,,unknown,,,,11501
argininosuccinate lyase 2,,unknown,,,,11502
invasion regulator SirB2,,non_amr_virulence,,,,11503
MULTISPECIES: type II toxin-antitoxin system toxin CcdB,,unknown,,,,11504
aminomutase,,unknown,,,,11505
disulfide reductase/organic hydroperoxide reductase,,unknown,,,,11506
MULTISPECIES: flagellar biosynthesis protein FlhG,,unknown,,,,11507
hypothetical protein PA0058,,unknown,,,,11508
putative nitrate reductase and putative nitrite reductase,,unknown,,,,11509
multidrug efflux RND transporter permease subunit OqxB,,antibiotic_resistance,,,,11510
ribosomal protein L32,,unknown,,,,11511
rRNA small subunit methyltransferase A,,unknown,,,,11512
MULTISPECIES: two-component system response regulator LnrK,,unknown,,,,11513
pyrimidine monooxygenase RutA,,unknown,,,,11514
damage-control phosphatase ARMT1 family protein,,unknown,,,,11515
mycothiol-dependent reductase,,unknown,,,,11516
"trehalose-6-phosphate phophatase, biosynthetic",,non_amr_antibiotic_biosynthesis,,,,11517
AMP-dependent ligase,,unknown,,,,11518
spore coat protein CotSA,,unknown,,,,11519
glycine zipper,,unknown,,,,11520
two-component regulatory system response regulator YehT,,unknown,,,,11521
putative factor of the oxidative stress response,,unknown,,,,11522
MULTISPECIES: TOTE conflict system archaeo-eukaryotic primase domain-containing protein,,unknown,,,,11523
MULTISPECIES: tail assembly protein,,unknown,,,,11524
hypothetical protein SF0820,,unknown,,,,11525
"peptide-methionine (S)-S-oxide reductase MsrA, partial",,unknown,,,,11526
anaerobic sulfatase maturase,,unknown,,,,11527
MULTISPECIES: cell wall-binding repeat protein,,unknown,,,,11528
MULTISPECIES: phage tail protein,,unknown,,,,11529
type I-B CRISPR-associated protein Cas5b,,unknown,,,,11530
3-oxoacyl- synthase,,unknown,,,,11531
insecticidal toxin complex chitinase Chi2,,non_amr_virulence,,,,11532
"recombinase, partial",,unknown,,,,11533
osmotically inducible peroxiredoxin OsmC,,unknown,,,,11534
CDD family class D beta-lactamase,,antibiotic_resistance,,,,11535
pyrimidine oxygenase,,unknown,,,,11536
"putative pyridine nucleotide-disulfide oxidoreductase, class I",,unknown,,,,11537
putative acetyltransferase TopAI antitoxin YjhQ,,unknown,,,,11538
hypothetical protein SF0837,,unknown,,,,11539
molecular chaperone OsmY,,unknown,,,,11540
threonine dehydratase biosynthetic (threonine deaminase),,unknown,,,,11541
para-aminobenzoate synthase component II,,unknown,,,,11542
MULTISPECIES: ABC-F type ribosomal protection protein Msr(I),,antibiotic_resistance,,,,11543
hypothetical protein PA3056,,unknown,,,,11544
hypothetical protein lmo2578,,unknown,,,,11545
photosystem II stability/assembly factor-like protein,,unknown,,,,11546
ribonucleotide reductase large subunit,,unknown,,,,11547
iron-sulfur cluster assembly sulfur-transfer protein (Zn(2+)-dependent),,unknown,,,,11548
hypothetical protein PA1579,,unknown,,,,11549
exopolysaccharide biosynthesis glycosyltransferase EpsA,,unknown,,,,11550
hypothetical protein PA2021,,unknown,,,,11551
MULTISPECIES: transcription antiterminator/RNA stability regulator CspE,,unknown,,,,11552
anthrone oxygenase family protein,,unknown,,,,11553
outer membrane receptor for Fe(III)-coprogen,,unknown,,,,11554
carbapenam-3-carboxylate synthase,,antibiotic_resistance,,,,11555
putative exported protein; phage island,,unknown,,,,11556
MULTISPECIES: damage-inducible protein,,unknown,,,,11557
teichoic acid biosynthesis protein F,,unknown,,,,11558
alpha ribazole-5'-P phosphatase in cobalamin synthesis,,unknown,,,,11559
flagellar brake protein YcgR,,unknown,,,,11560
"thiazole synthase, partial",,unknown,,,,11561
transcriptional regulator of stress,,unknown,,,,11562
MULTISPECIES: superantigen-like protein SSL4,,non_amr_virulence,,,,11563
MULTISPECIES: lantibiotic protection ABC transporter permease PcfG,,antibiotic_resistance,,,,11564
putative selenocysteine synthase,,unknown,,,,11565
MULTISPECIES: helical backbone metal receptor,,non_amr_metal_resistance,,,,11566
alpha-xenorhabdolysin family binary toxin subunit A,,non_amr_virulence,,,,11567
two-component system response regulator VraR,,antibiotic_resistance,,,,11568
MULTISPECIES: phage tail termination protein,,unknown,,,,11569
MULTISPECIES: subclass B3 metallo-beta-lactamase GOB-7,,antibiotic_resistance,,,,11570
MULTISPECIES: type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein,,unknown,,,,11571
MULTISPECIES: conjugative transfer protein,,unknown,,,,11572
"outer membrane protein assembly factor BamE, partial",,unknown,,,,11573
deoxyxylulose-5-phosphate synthase,,unknown,,,,11574
ribosomal protein S10 (BS13); transcription antitermination factor,,unknown,,,,11575
glutamate:gamma-aminobutyrate antiporter,,non_amr_transport,,,,11576
microcin C ABC transporter permease,,non_amr_transport,,,,11577
multidrug efflux RND transporter permease subunit BepG,,antibiotic_resistance,,,,11578
flagellar basal-body (stator) associated protein,,unknown,,,,11579
"transcriptional regulator for asnA, gidA",,unknown,,,,11580
phosphorothioated DNA-binding restriction endonuclease family protein,,unknown,,,,11581
arginine ABC transporter ATP-binding protein ArtP,,non_amr_transport,,,,11582
pertussis toxin binding subunit S3,,non_amr_virulence,,,,11583
type III-E CRISPR-associated RpoE-like sigma factor,,unknown,,,,11584
MULTISPECIES: quorum-sensing CAI-1 autoinducer sensor kinase/phosphatase CqsS,,unknown,,,,11585
cell wall-binding repeat-containing protein,,unknown,,,,11586
MULTISPECIES: S-adenosylmethionine synthetase,,unknown,,,,11587
hypothetical protein SF1998,,unknown,,,,11588
MULTISPECIES: response regulator transcription factor,,unknown,,,,11589
MULTISPECIES: type IV toxin-antitoxin system cytoskeleton-binding toxin CbtA,,unknown,,,,11590
hypothetical protein lmo0805,,unknown,,,,11591
transcriptional regulator CztR,,unknown,,,,11592
flagella synthesis protein FlgN,,non_amr_virulence,,,,11593
murein peptide permease AmpG,,unknown,,,,11594
MULTISPECIES: multidrug efflux ABC transporter subunit EfrB,,antibiotic_resistance,,,,11595
guanosine 5'-monophosphate oxidoreductase,,unknown,,,,11596
"flagellar hook assembly protein FlgD, partial",,non_amr_virulence,,,,11597
endoribonuclease SymE,,unknown,,,,11598
MULTISPECIES: diffusible signal factor synthase RpfF,,non_amr_virulence,,,,11599
efflux pump membrane fusion protein,,non_amr_transport,,,,11600
MULTISPECIES: multidrug efflux RND transporter periplasmic adaptor subunit TMexC,,antibiotic_resistance,,,,11601
hypothetical protein lmo2502,,unknown,,,,11602
mal regulon transcriptional activator,,unknown,,,,11603
"MULTISPECIES: phage tail assembly protein, partial",,non_amr_virulence,,,,11604
polyhydroxyalkanoate synthesis regulator DNA-binding domain-containing protein,,unknown,,,,11605
neopentalenolactone/pentalenolactone D synthase,,non_amr_antibiotic_biosynthesis,,,,11606
pilus assembly protein PilN,,non_amr_virulence,,,,11607
pyrroloquinoline quinone biosynthesis protein PqqF,,unknown,,,,11608
"adenine deaminase, partial",,unknown,,,,11609
pilus assembly protein FlpK,,non_amr_virulence,,,,11610
phage PBSX; putative RNA polymerase PBSX sigma factor-like,,non_amr_virulence,,,,11611
phosphoribosylformylglycinamidine synthase I,,unknown,,,,11612
MULTISPECIES: LysM peptidoglycan-binding domain-containing C40 family peptidase,,non_amr_virulence,,,,11613
allD operon transcriptional activator,,unknown,,,,11614
enhanced serine sensitivity protein SseB,,non_amr_virulence,,,,11615
MULTISPECIES: stress protein,,unknown,,,,11616
acid and phagosome regulated protein AprC,,non_amr_virulence,,,,11617
rubredoxin/rubredoxin reductase,,non_amr_metal_resistance,,,,11618
hypothetical protein PA2159,,unknown,,,,11619
"ribosome rescue GTPase HflX, partial",,unknown,,,,11620
ammonia permease,,non_amr_transport,,,,11621
MULTISPECIES: Cd(II)/Pb(II)/Zn(II)-sensing metalloregulatory transcriptional repressor CadC,,non_amr_metal_resistance,,,,11622
error-prone repair protein,,unknown,,,,11623
redox-regulated ATPase,,unknown,,,,11624
poly(3-hydroxyalkanoic acid) synthase,,unknown,,,,11625
capsule biosynthesis protein CapD,,non_amr_virulence,,,,11626
hypothetical protein PA5285,,unknown,,,,11627
naphthoate synthase,,unknown,,,,11628
bifunctional helix-turn-helix transcriptional regulator/GNAT family N-acetyltransferase,,unknown,,,,11629
transcriptional regulator for cysteine regulon,,unknown,,,,11630
acetylornithine transaminase,,unknown,,,,11631
ribosome hibernation-promoting factor,,unknown,,,,11632
MULTISPECIES: secretion protein,,non_amr_transport,,,,11633
MULTISPECIES: CRISPR-associated protein Cas7,,unknown,,,,11634
cycle-inhibiting factor,,non_amr_virulence,,,,11635
MULTISPECIES: oxidative stress response transcriptional regulator OsaR,,unknown,,,,11636
glutamine-hydrolyzing GMP synthase,,unknown,,,,11637
thiamine biosynthesis ThiGH complex subunit,,non_amr_antibiotic_biosynthesis,,,,11638
amino acid adenylation domain protein,,unknown,,,,11639
MULTISPECIES: lugdunin non-ribosomal peptide synthetase LugA,,non_amr_antibiotic_biosynthesis,,,,11640
type II toxin-antitoxin system toxin protein parE3,,ambiguous,,,,11641
type IV pilus assembly protein PilO,,unknown,,,,11642
csh1 family CRISPR-associated protein,,unknown,,,,11643
iron-enterobactin transporter ATP-binding protein,,non_amr_transport,,,,11644
redox-sensitive transcriptional regulator HypR,,unknown,,,,11645
spore coat-like protein,,unknown,,,,11646
guanosine polyphosphate pyrophosphohydrolases/synthetase,,unknown,,,,11647
oligosaccharide repeat unit polymerase,,non_amr_transport,,,,11648
MULTISPECIES: substrate-binding protein,,ambiguous,,,,11649
hypothetical protein lmo2804,,unknown,,,,11650
transcriptional regulator (AraC/XylS family),,ambiguous,,,,11651
MULTISPECIES: plasmid mobilization relaxase MbeA,,unknown,,,,11652
MULTISPECIES: GRAM domain-containing protein,,unknown,,,,11653
"arabinosyltransferase C-terminal domain-containing protein, partial",,ambiguous,,,,11654
hypothetical protein PA2156,,unknown,,,,11655
"anthranilate 1,2-dioxygenase electron transfer component AntC",,unknown,,,,11656
ammonium transporter/methylammonium transporter,,non_amr_transport,,,,11657
phage DNA methylase,,unknown,,,,11658
MULTISPECIES: flagellar basal body rod modification protein,,unknown,,,,11659
aminodeoxychorismate/anthranilate synthase component II,,non_amr_antibiotic_biosynthesis,,,,11660
cidABC operon transcriptional activator CidR,,unknown,,,,11661
arginine--tRNA ligase,,unknown,,,,11662
MULTISPECIES: (Fe-S)-cluster assembly protein,,unknown,,,,11663
plasmid partition ParA protein,,unknown,,,,11664
MULTISPECIES: recombination regulator RecX,,unknown,,,,11665
flagellar protein FlaR,,unknown,,,,11666
"MULTISPECIES: virulence-associated E family protein, partial",,non_amr_virulence,,,,11667
MULTISPECIES: copper-responsive transcriptional repressor TcrY,,non_amr_metal_resistance,,,,11668
chemotaxis receiver domain protein CheYII,,unknown,,,,11669
MULTISPECIES: protein MgtR,,unknown,,,,11670
MULTISPECIES: multidrug efflux RND transporter periplasmic adaptor subunit AdeA,,antibiotic_resistance,,,,11671
MULTISPECIES: AadS family aminoglycoside 6-adenylyltransferase,,antibiotic_resistance,,,,11672
flagellar motor control protein ZomB,,unknown,,,,11673
periplasmic nitrate reductase,,unknown,,,,11674
type IV CRISPR-associated protein Csf2,,unknown,,,,11675
translation initiation inhibitor,,unknown,,,,11676
glutamine synthetase adenylyltransferase,,unknown,,,,11677
MULTISPECIES: alginate biosynthesis protein AlgK,,non_amr_antibiotic_biosynthesis,,,,11678
"biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha,beta-trehalose);kanosamine-6-phosphate phosphatase (recent HGT island)",,non_amr_antibiotic_biosynthesis,,,,11679
hypothetical protein lmo0513,,unknown,,,,11680
"guanitoxin biosynthesis MBL fold metallo-hydrolase GntH, partial",,non_amr_antibiotic_biosynthesis,,,,11681
MULTISPECIES: multidrug efflux RND transporter periplasmic adaptor subunit SmeA,,antibiotic_resistance,,,,11682
MULTISPECIES: bacterial proteasome activator family protein,,unknown,,,,11683
"DNA-binding protein for site-specific recombination, transcription of rRNA and tRNA operons and DNA replication",,unknown,,,,11684
two-component regulatory system response regulator UhpA,,unknown,,,,11685
MULTISPECIES: DNA-binding transcriptional repressor BluR,,unknown,,,,11686
"spore coat polysaccharide biosynthesis glycosyltransferase ExoO, partial",,unknown,,,,11687
putative AraC/XylS family regulator,,unknown,,,,11688
MULTISPECIES: diflavin flavoprotein,,unknown,,,,11689
MULTISPECIES: SRP-less Sec system protein,,non_amr_transport,,,,11690
cyanophycinase,,unknown,,,,11691
type VI immunity family protein,,non_amr_virulence,,,,11692
aromatic ring-hydroxylating dioxygenase subunit alpha,,unknown,,,,11693
"autonomous glycyl radical cofactor GrcA, partial",,unknown,,,,11694
"bifunctional UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronic acid oxidase ArnA, partial",,antibiotic_resistance,,,,11695
MULTISPECIES: tRNA pseudouridine(55) synthase,,unknown,,,,11696
flagella biosynthesis ATPase FlhG,,unknown,,,,11697
SPH_0224 family bacteriocin-like peptide,,ambiguous,,,,11698
MULTISPECIES: sterile alpha motif-like domain-containing protein,,unknown,,,,11699
hypothetical protein Rv3256c,,unknown,,,,11700
MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide synthase,,unknown,,,,11701
MULTISPECIES: phage tail assembly chaperone GT,,unknown,,,,11702
Salmonella plasmid virulence: hydrophilic protein (plasmid),,non_amr_virulence,,,,11703
MULTISPECIES: penicillin-binding protein PBP1A,,antibiotic_resistance,,,,11704
MULTISPECIES: amino acid-binding ACT,,unknown,,,,11705
hypothetical protein PA3954,,unknown,,,,11706
sigmaY antisigma factor component,,unknown,,,,11707
pyrimidine permease RutG,,non_amr_transport,,,,11708
flavin-dependent violacein biosynthesis monooxygenase VioD,,non_amr_antibiotic_biosynthesis,,,,11709
CoA-disulfide reductase,,unknown,,,,11710
CRISPR-associated protein Cas1,,unknown,,,,11711
BlaL family class A beta-lactamase,,antibiotic_resistance,,,,11712
trimeric autotransporter adhesin BoaA,,non_amr_virulence,,,,11713
MULTISPECIES: response regulator QseB,,non_amr_virulence,,,,11714
"hydrogenobyrinic/cobyrinic acid a,c-diamide synthase",,unknown,,,,11715
MULTISPECIES: integration host factor subunit beta,,unknown,,,,11716
hypothetical protein SF0796,,unknown,,,,11717
two component sensor kinase,,unknown,,,,11718
"bifunctional UDP-4-keto-pentose/UDP-xylose synthase, partial",,unknown,,,,11719
pyridoxine phosphate biosynthetic protein,,unknown,,,,11720
long polar fimbrial operon protein,,non_amr_virulence,,,,11721
phage family integrase,,unknown,,,,11722
"response regulator c-di-GMP phosphodiesterase, NosR family",,unknown,,,,11723
hypothetical protein lmo2808,,unknown,,,,11724
type III-A CRISPR-associated protein Csm6,,unknown,,,,11725
formate hydrogenlyase transcriptional activator,,unknown,,,,11726
peptidase M22 family non-proteolytic protein,,unknown,,,,11727
hypothetical protein CBU_1586,,unknown,,,,11728
nitrate regulatory protein,,unknown,,,,11729
hypothetical protein SF2054,,unknown,,,,11730
ssDNA-binding domain-containing protein,,unknown,,,,11731
"MULTISPECIES: AMP-binding protein, partial",,unknown,,,,11732
MULTISPECIES: chitooligosaccharide synthase NodC,,non_amr_antibiotic_biosynthesis,,,,11733
MULTISPECIES: peroxide-responsive transcriptional repressor PerRA,,unknown,,,,11734
ribonuclease domain-containing protein,,unknown,,,,11735
MULTISPECIES: Arm DNA-binding domain-containing protein,,unknown,,,,11736
assimilatory nitrate reductase catalytic subunit NasC,,unknown,,,,11737
"citramalate synthase, partial",,unknown,,,,11738
sulfur carrier protein ThiS adenylyltransferase,,unknown,,,,11739
"periplasmic disulfide isomerase, thiol-disulfide oxidase",,unknown,,,,11740
trp-repressor binding protein,,unknown,,,,11741
MULTISPECIES: nuclease,,unknown,,,,11742
polymorphic outer membrane protein,,unknown,,,,11743
MULTISPECIES: chemotaxis response regulator CheY,,unknown,,,,11744
universal stress global response regulator,,unknown,,,,11745
L-tartrate:succinate antiporter,,non_amr_transport,,,,11746
"TerB family tellurite resistance protein, partial",,non_amr_metal_resistance,,,,11747
CVI family subclass B2 metallo-beta-lactamase,,antibiotic_resistance,,,,11748
cyclic di-AMP receptor DarA,,unknown,,,,11749
MULTISPECIES: antitoxin VapB39,,unknown,,,,11750
"type II toxin-antitoxin system RatA family toxin, partial",,unknown,,,,11751
hypothetical protein SF2953,,unknown,,,,11752
thin pilus assembly periplasmic chaperone AcuD,,non_amr_virulence,,,,11753
anaerobic typically selenocysteine-containing protein,,unknown,,,,11754
hypothetical protein PA0583,,unknown,,,,11755
exoribonuclease R,,unknown,,,,11756
"phosphosulfolactate synthase, partial",,unknown,,,,11757
CopY/TcrY family copper transport repressor,,non_amr_metal_resistance,,,,11758
type I restriction-modification system methyltransferase subunit,,unknown,,,,11759
MULTISPECIES: cyclodityrosine synthase,,unknown,,,,11760
DNA replication inhibitor toxin SocB,,unknown,,,,11761
"lipopolysaccharide transport periplasmic protein LptA, partial",,non_amr_transport,,,,11762
double-strand break repair protein AddB,,unknown,,,,11763
MULTISPECIES: antitoxin YezG family protein,,unknown,,,,11764
cation:proton antiport protein,,non_amr_transport,,,,11765
hypothetical protein SF0835,,unknown,,,,11766
lysine/arginine/ornithine ABC transporter substrate-binding protein ArgT,,non_amr_transport,,,,11767
3-deoxy-7-phosphoheptulonate synthase AroG,,unknown,,,,11768
MULTISPECIES: immunity 7 family protein,,antibiotic_resistance,,,,11769
acyl protein synthetase LuxE,,unknown,,,,11770
ribosome biogenesis GTPase Der,,unknown,,,,11771
"putative bactoprenol glycosyl transferase, phage origin",,unknown,,,,11772
"MULTISPECIES: tetracycline-inactivating monooxygenase Tet(X), partial",,antibiotic_resistance,,,,11773
pesticidal protein Cry7Aa,,non_amr_virulence,,,,11774
E492 group microcin,,antibiotic_resistance,,,,11775
MULTISPECIES: aminoglycoside 6-adenylyltransferase AadE,,antibiotic_resistance,,,,11776
hypothetical protein Rv2569c,,unknown,,,,11777
phage tail terminator-like protein,,unknown,,,,11778
periplasmic protein disulfide isomerase I,,unknown,,,,11779
flagellar hook-length control protein (ruler),,unknown,,,,11780
carbamoyl-phosphate synthase small subunit,,unknown,,,,11781
polyglycerol-phosphate lipoteichoic acid synthase LtaS,,unknown,,,,11782
MULTISPECIES: methionine synthase,,unknown,,,,11783
lantibiotic ABC transporter (ATP-binding protein),,antibiotic_resistance,,,,11784
"anchored repeat-type ABC transporter permease subunit, partial",,non_amr_transport,,,,11785
negative regulator of MalT activity/cystathionine beta-lyase,,unknown,,,,11786
"anthranilate 1,2-dioxygenase large subunit",,unknown,,,,11787
MULTISPECIES: YfiT family bacillithiol transferase,,unknown,,,,11788
hypothetical protein SF2835,,unknown,,,,11789
hypothetical protein PA2800,,unknown,,,,11790
"CopG family antitoxin, partial",,unknown,,,,11791
MULTISPECIES: tetracycline-inactivating monooxygenase Tet(X3),,antibiotic_resistance,,,,11792
MULTISPECIES: anti-sigma E factor RseA,,unknown,,,,11793
"23S rRNA pseudouridine(2604) synthase RluF, partial",,unknown,,,,11794
MULTISPECIES: imidazole glycerol phosphate synthase,,unknown,,,,11795
thiamine biosynthesis protein,,unknown,,,,11796
MULTISPECIES: nitrite reductase,,unknown,,,,11797
MULTISPECIES: class D beta-lactamase OXA-347,,antibiotic_resistance,,,,11798
putative ribosome binding protein,,unknown,,,,11799
disulfide bond formation protein,,unknown,,,,11800
hypothetical protein Rv3594,,unknown,,,,11801
positive regulator for rhaBAD operon,,unknown,,,,11802
conjugative transfer (plasmid),,unknown,,,,11803
MULTISPECIES: Putative OTU-like cysteine protease,,unknown,,,,11804
mycodextranase,,unknown,,,,11805
glucans biosynthesis protein MdoC,,non_amr_antibiotic_biosynthesis,,,,11806
conserved phage protein of unknown function; phage SPbeta,,unknown,,,,11807
endonuclease MutS2,,unknown,,,,11808
putative ABC-transporter (permease),,non_amr_transport,,,,11809
tcdA-E operon negative regulator,,non_amr_virulence,,,,11810
hypothetical protein PA4805,,unknown,,,,11811
trimeric autotransporter adhesin AipA,,non_amr_virulence,,,,11812
flagellar protein,,non_amr_virulence,,,,11813
MULTISPECIES: site-specific tyrosine recombinase,,unknown,,,,11814
MULTISPECIES: peptidoglycan glycosyltransferase FtsI,,unknown,,,,11815
oxidative stress transcriptional regulator,,unknown,,,,11816
N5-carboxyaminoimidazole ribonucleotide synthase,,unknown,,,,11817
MULTISPECIES: type A-13 chloramphenicol O-acetyltransferase,,antibiotic_resistance,,,,11818
MULTISPECIES: SAM-dependent chlorinase/fluorinase,,unknown,,,,11819
thioester reductase,,unknown,,,,11820
"acetolactate synthase AlsS, partial",,unknown,,,,11821
"phage scaffolding protein, partial",,non_amr_virulence,,,,11822
phage major tropism determinant,,non_amr_virulence,,,,11823
tRNA 5-methylaminomethyl-2-thiouridine synthase,,unknown,,,,11824
MULTISPECIES: outer membrane protein assembly factor BamC,,unknown,,,,11825
ribose ABC transporter ATP binding subunit,,non_amr_transport,,,,11826
thiamine biosynthesis protein ThiC,,unknown,,,,11827
maltose outer membrane channel/phage lambda receptor protein,,non_amr_transport,,,,11828
toxin-coregulated pilus transcriptional regulator TcpP,,non_amr_virulence,,,,11829
MULTISPECIES: type II toxin-antitoxin system ChpB family toxin,,ambiguous,,,,11830
MULTISPECIES: nucleotide modification associated domain-containing protein,,antibiotic_resistance,,,,11831
sulfate respiration complex iron-sulfur protein HmcB,,unknown,,,,11832
phospholipase component of bacilysocin synthesis or export,,non_amr_antibiotic_biosynthesis,,,,11833
site-specific DNA-binding protein,,unknown,,,,11834
redox-active protein,,unknown,,,,11835
